지하차도명,위치,준공일,총연장(미터),폭(미터),통과높이,안전점검(유지보수) 내역,안전등급
상동지하차도,경기도 부천시 원미구 상동 633,2002-07-20,235.3,20.5,4.3,2024.12. 정기안전점검실시,B
당아래지하차도,경기도 부천시 원미구 춘의동 15-5,2012-12-31,140,23,5.5,2024.12. 정기안전점검실시,B
송내지하차도,경기도 부천시 소사구 송내동 280-11,1995-09-26,715,39,8.57,2024.11. 정기안전점검실시,B
동남지하차도,경기도 부천시 소사구 범박동 157-1,2008-04-02,460,30,5.2,2024.11. 정기안전점검실시,A
소명지하차도,경기도 부천시 소사구 심곡본동 522-1,1977-12-31,266,7.6,4.8,2024.11. 정기안전점검실시,C
역곡지하차도,경기도 부천시 역곡동 382,1998-01-01,38,13,2.5,2024.11. 정기안전점검실시,B
고강지하차도,경기도 부천시 오정구 고강동 1-1,2005-11-15,490,21,7.9,2024.09. 정밀점검실시,B
오정휴먼시아 지하차도,경기도 부천시 오정구 오정동 720,2007-12-31,50,20,3,2024.10. 정기안전점검실시,B
삼정지하차도(인천-20 통로암거),경기도 부천시 삼정동88-2,,42,10.5,,한국도로공사 관리시설,
부천IC지하차도(부천IC본선육교),경기도 부천시 내동222-41,,43,41,,한국도로공사 관리시설,
오정지하차도(부천1육교),경기도 부천시 내동169,,61,69,,한국도로공사 관리시설,
베르네지하차도(여월교),경기도 부천시 여월동1-45,,38,38,,한국도로공사 관리시설,
원종지하차도(원종육교),경기도 부천시 원종동374,,36,36,,한국도로공사 관리시설,
고리울천지하차도(작동육교),경기도 부천시 고강동298,,36.4,36,,한국도로공사 관리시설,
