지형지물부호,행정동,도엽번호,관리기관,도로구간번호,지하차도명,총연장,총면적,구체높이,일반제원-통행제한높이,폭원-계,폭원-차도,왕복차로수
지하차도,가능동,377050106,의정부시,82,경민지하차도(녹양),370,,5.2,4.8,8.4,8.4,4
지하차도,가능동,377050106,의정부시,82,경민지하차도(송추),305,,5.2,4.8,8.4,8.4,4
지하차도,의정부동,377050120,의정부시,113,중앙지하차도,189,,4.5,4.5,16,,4
지하차도,금오동,377050202,의정부시,113,금신지하차도,460,,5.1,5,13,13,4
지하차도,의정부2동,377050120,의정부시,18,흥선지하차도,250,2127,0,3.8,12.68,5,2
지하차도,의정부2동,377050129,의정부시,7,의정부역지하차도,333.5,5450,5.13,4.5,38.92,25.4,4
지하차도,의정부2동,377050140,의정부시,8,경의지하차도,150,3151,0,4.6,30,24,4
지하차도,신곡1동,377050222,의정부시,35,신곡지하차도,420,6485.03,5.3,4.5,16,10,2
지하차도,민락동,377050302,의정부시,7992,민락지하차도,460,,7.5,5,14,14,4
지하차도,장암동,377050291,의정부시,8510,장암지하차도,720,,5.1,4.5,19.5,19.5,4
