연번,시설물명(개소),위치,구,동,방재등급,연장(미터),총폭(미터),유효폭(미터),면적(제곱미터),교고,차선(상),차선(하),준공년도,데이터기준일자
1,농성지하차도,상무대로,서,농성,4,215,14.6,,3139,4.2,2,2,1988,2024-12-31
2,효덕지하차도,서문로,남,진월,4,580,17.5,13.3,10150,5,2,2,2004,2024-12-31
3,운암지하차도,서강대학로,북,운암,4,105,10.9,6.6,1144.5,3.3,1,1,1999,2024-12-31
4,신용지하차도,빛고을로,북,신용,4,460,14,14,6440,5.1,2,2,2010,2024-12-31
5,송정지하차도,어등로,광산,소촌,4,290,21.4,15.4,6206,4.9,2,2,1988,2024-12-31
6,하남2지하차도,무진로,광산,우산,4,380,16,16,6080,4.9,2,2,1991,2024-12-31
7,비아지하차도,고속도로,광산,비아,4,350,29.6,24.5,10360,5,3,3,2000,2024-12-31
8,선운지하차도,평동산단로,광산,운수,4,600,26.5,21,15900,5,3,3,2002,2024-12-31
9,수완지하차도,임방울대로,광산,장덕,4,720,24,24,17280,4.5,3,3,2007,2024-12-31
10,월출지하차도,빛고을로,북,월출,4,453,20,20,9060,4.5,2,2,2012,2024-12-31
11,연제지하차도,빛고을로,북,연제,4,620,18.3,18.3,11346,5,2,2,2011,2024-12-31
12,장수1지하차도,장수동,광산,장수,3,783,21.5,12.2,16834.5,4.5,2,2,2016,2024-12-31
13,산정1지하차도,산정동,광산,산정,4,206.8,16.6,16.6,3432.9,4.4,2,2,2016,2024-12-31
14,신덕지하차도,송정동,광산,송정,4,181.1,15.1,15.1,2746.1,4.5,2,2,2016,2024-12-31
15,운수지하차도,운수동,광산,운수,4,83,8,8,664,4.5,1,1,2017,2024-12-31
16,송정지하차도,소촌동,광산,소촌,4,290,14.6,14.6,4234,4.2,2,2,1988,2024-12-31
17,죽림지하차도,동림동,북,동림,4,192,10.4,9,1728,3.7,1,1,2004,2024-12-31
18,용전지하차도,용전동,북,용전,4,22.4,5.9,5,112,3.5,1,1,2004,2024-12-31
19,우석지하차도,동림동,북,동림,4,221.4,13.9,12.8,1866,4.1,1,1,2005,2024-12-31
20,소촌지하차도,소촌동,광산,소촌,4,122,14.3,14.3,1745,4.5,1,1,2015,2024-12-31
21,동송정지하차도,신촌동,광산,신촌,4,150,8,8,1200,7.3,1,1,2001,2024-12-31
22,송정공원역지하차도,소촌동,광산,소촌,4,185,8.7,5.5,1609.5,3.5,1,1,1921,2024-12-31
23,서창지하차도,제2순환도로,서,마륵,4,640,28,21,17920,5.3,3,3,2002,2024-12-31
24,신가지하차도,제2순환도로,광산,신가,4,445.5,28,21,12474,5,3,3,2007,2024-12-31
25,신창지하차도,제2순환도로,광산,신창,4,530,27,21,14310,5,3,3,2007,2024-12-31
26,행암지하차도,서문로,남,행암,4,563.5,19.8,19.8,11157,7.9,2,2,2023,2024-12-31
