순번(No),시설물명,시설물구분,시설물종류,종별,관리주체구분,항목명,위치
1,원당지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 960.0 m, 차로수 : 4",경기도 고양시
2,남태령지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 920.0 m, 차로수 : 4",경기도 과천시
3,복합물류지하차도(군포),터널,지하차도,1종,공공,"형식 : BOX+ARCH / 연장 : 840.0 m, 차로수 : 4",경기도 군포시
4,운양지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 2,722.0 m, 차로수 : 6",경기도 김포시
5,장기지하차도1,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 999.0 m, 차로수 : 4",경기도 김포시
6,장기지하차도2,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,220.0 m, 차로수 : 4",경기도 김포시
7,송내지하차도,터널,지하차도,1종,공공,"형식 : 미등록 / 연장 : 715.0 m, 차로수 : 6",경기도 부천시
8,광장지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,842.1 m, 차로수 : 6",경기도 성남시
9,백현지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 898.0 m, 차로수 : 4",경기도 성남시
10,화랑지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,435.0 m, 차로수 : 6",경기도 성남시
11,고색지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 500.0 m, 차로수 : 4",경기도 수원시
12,망포지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 871.0 m, 차로수 : 6",경기도 수원시
13,법원 지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 608.8 m, 차로수 : 4",경기도 수원시
14,상구운지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 830.0 m, 차로수 : 4",경기도 수원시
15,세류지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 620.0 m, 차로수 : 6",경기도 수원시
16,효원지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 840.0 m, 차로수 : 4",경기도 수원시
17,장현지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,040.0 m, 차로수 : 4",경기도 시흥시
18,상현지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,065.0 m, 차로수 : 4",경기도 용인시
19,신대지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 680.0 m, 차로수 : 4",경기도 용인시
20,죽전지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,020.0 m, 차로수 : 4",경기도 용인시
21,복합물류지하차도(의왕),터널,지하차도,1종,공공,"형식 : BOX,ARCH / 연장 : 840.0 m, 차로수 : 4",경기도 의왕시
22,장암지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 720.0 m, 차로수 : 4",경기도 의정부시
23,한길지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,320.0 m, 차로수 : 4",경기도 파주시
24,중앙지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 920.0 m, 차로수 : 4",경기도 평택시
25,금곡지하차도,터널,지하차도,1종,민간,"형식 : 라멘형 / 연장 : 3,125.0 m, 차로수 : 4",경기도 화성시
26,능동지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 919.0 m, 차로수 : 2",경기도 화성시
27,동부대로3(보들)지하차도,터널,지하차도,1종,공공,"형식 : 2련BOX / 연장 : 1,065.0 m, 차로수 : 4",경기도 화성시
28,동부대로4(신리)지하차도,터널,지하차도,1종,공공,"형식 : 2련BOX / 연장 : 1,030.0 m, 차로수 : 4",경기도 화성시
29,봉담지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 1,340.0 m, 차로수 : 4",경기도 화성시
30,용주1(화산1)지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 920.0 m, 차로수 : 4",경기도 화성시
31,하길지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 680.0 m, 차로수 : 6",경기도 화성시
32,하나지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 500.0 m, 차로수 : 6",경기도 화성시
33,화산2(용주2)지하차도,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 740.0 m, 차로수 : 5",경기도 화성시
34,혁신지하차도1,터널,지하차도,1종,공공,"형식 : 박스형 / 연장 : 738.0 m, 차로수 : 4",경상북도 김천시
35,장수1지하차도,터널,지하차도,1종,공공,"형식 : 라멘형 / 연장 : 783.0 m, 차로수 : 6",광주광역시 광산구
