지리정보(WKT),지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,지하차도명,총연장,총면적,구체연장,구체면적,구체높이,일반제원_통행제한 높이,폭원_계,폭원_차도,왕복차로수,대장초기화여부
"MULTIPOLYGON (((237528.070129395 427946.980102539,237534.220092773 427916.200073242,237493.540100098 427921.92010498,237487.230102539 427953.17010498,237528.070129395 427946.980102539)))",지하차도,2,대전광역시 대덕구 ,36710027,13850,,42,1227.07,0,0,0,0,0,0,6,1
"MULTIPOLYGON (((238259.00012207 420721.990112305,238222.830078125 420712.50012207,238220.770080566 420720.340087891,238256.950073242 420729.830078125,238259.00012207 420721.990112305)))",지하차도,4,대전광역시 대덕구 ,36710048,13851,,37.4,303.11,0,0,0,0,0,0,2,1
"MULTIPOLYGON (((237855.960083008 423736.910095215,237803.530090332 423734.75012207,237804.020080566 423737.150085449,237856.330078125 423739.440124512,237855.960083008 423736.910095215)))",지하차도,5,대전광역시 대덕구 ,36710037,108092,,52.5,128.14,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((237795.950073242 423232.990112305,237794.700073242 423230.240112305,237791.930114746 423231.480102539,237780.700073242 423236.460083008,237777.820129395 423237.790100098,237779.130126953 423240.700073242,237781.560119629 423239.620117188,237792.790100098 423234.460083008,237795.950073242 423232.990112305)))",지하차도,6,대전광역시 대덕구 ,36710037,108863,,18.5,58.13,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((237708.520080566 423274.640075684,237707.410095215 423272.17010498,237705.370117188 423273.090087891,237692.480102539 423278.830078125,237676.590087891 423285.930114746,237674.230102539 423286.960083008,237673.320129395 423287.370117188,237668.950073242 423289.320129395,237663.090087891 423291.910095215,237661.300109863 423292.75012207,237662.400085449 423295.220092773,237664.050109863 423294.50012207,237669.880126953 423291.880126953,237673.300109863 423290.42010498,237675.050109863 423289.680114746,237675.120117188 423289.650085449,237677.440124512 423288.600097656,237693.410095215 423281.440124512,237706.160095215 423275.710083008,237708.520080566 423274.640075684)))",지하차도,7,대전광역시 대덕구 ,36710037,108863,,50.5,139.12,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((235901.399 417952.258,235904.063 417948.692,235913.636 417935.104,235922.637 417921.489,235932.532 417905.616,235940.517 417892.92,235948.536 417879.778,235957.989 417864.587,236024.33 417758.271,236046.485 417705.872,236077.796 417626.432,236079.087 417621.794,236080.78 417615.08,236082.73 417606.932,236087.238 417585.049,236088.548 417578.22,236089.818 417571.092,236090.76 417564.923,236092.639 417551.667,236093.451 417545.334,236095.804 417522.202,236096.392 417511.365,236096.78 417502.721,236097.007 417492.151,236097.049 417476.642,236096.845 417466.846,236080.846 417468.714,236080.984 417469.192,236081.041 417477.072,236081.007 417486.461,236080.954 417494.187,236080.689 417502.652,236080.312 417511.298,236080.073 417516.032,236078.222 417538.442,236077.03 417548.734,236075.2 417561.99,236073.297 417574.034,236070.751 417587.855,236068.327 417599.367,236065.468 417612.04,236062.945 417622.253,236034.941 417702.368,236010.478 417753.9,235944.786 417856.565,235940.403 417863.354,235932.72 417875.701,235922.183 417892.578,235914.283 417905.429,235908.976 417913.856,235903.589 417921.881,235901.513 417924.868,235897.914 417930.045,235893.208 417936.727,235886.367 417946.075,235879.054 417955.652,235876.965 417958.276,235890.127 417967.286,235894.852 417961.023,235901.399 417952.258)))",지하차도,8,대전광역시 대덕구 ,36710056,35349,삼천지하차도,545,8175.72,0,0,4.5,0,0,0,8,1
"MULTIPOLYGON (((242312.070129395 413359.930114746,242289.290100098 413337.490112305,242262.080078125 413346.560119629,242234.800109863 413355.360107422,242231.820129395 413356.340087891,242254.67010498 413379.190124512,242312.070129395 413359.930114746)))",지하차도,9,대전광역시 동구 ,36710079,13576,,60,1731.44,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((242433.710083008 413328.180114746,242411.900085449 413294.050109863,242385.110107422 413303.680114746,242406.630126953 413336.700073242,242433.710083008 413328.180114746)))",지하차도,10,대전광역시 동구 ,36710079,13582,,28.5,1100.95,0,0,0,0,0,0,2,1
"MULTIPOLYGON (((240835.50012207 409802.790100098,240830.730102539 409800.700073242,240822.310119629 409809.540100098,240827.480102539 409811.790100098,240835.50012207 409802.790100098)))",지하차도,11,대전광역시 동구 ,36710089,60251,,12,62.17,0,0,0,0,0,0,1,1
"MULTIPOLYGON (((240766.640075684 409834.450073242,240758.620117188 409829.520080566,240747.280090332 409836.400085449,240747.800109863 409836.720092773,240755.850097656 409841.630126953,240766.640075684 409834.450073242)))",지하차도,12,대전광역시 동구 ,36710089,60251,,12.2,114.54,0,0,0,4.3,0,0,1,1
