시설명,시도,시군구,총길이,총폭,높이
초량제1지하차도,부산광역시,동구,165,15,3.5
초량제1지하차도,부산광역시,동구,175,15,3.5
부산진시장 지하차도,부산광역시,동구,178,12,4
범천지하차도,부산광역시,부산진구,423,16,4.5
문전교차로 지하차도,부산광역시,부산진구,436,8,4.7
개금지하차도,부산광역시,부산진구,179,11.3,4.3
당감지하차도,부산광역시,부산진구,141,12.1,4
감고개공원복개구조물,부산광역시,부산진구,105,46,6.5
범일지하도,부산광역시,부산진구,25,8,3.5
내성 지하차도,부산광역시,동래구,185,17,4.6
안락 지하차도,부산광역시,동래구,200,15.2,4.6
우장춘 지하차도,부산광역시,동래구,244,17.6,4.6
문현지하차도,부산광역시,남구,260,17,10
대남지하차도,부산광역시,남구,410,16,5
문화지하차도,부산광역시,남구,129,20,5
구남 굴다리,부산광역시,북구,26,6,4.1
화명5 지하차도,부산광역시,북구,37,4,4.5
수영강변 지하차도,부산광역시,해운대구,400,18,5
우동 지하차도,부산광역시,해운대구,146,30,4.5
좌동 지하차도,부산광역시,해운대구,566,18,4.5
센텀지하차도,부산광역시,해운대구,460,18,4.5
용천지하차도,부산광역시,해운대구,30,4,4.2
중동지하차도,부산광역시,해운대구,370,20,4.5
구서 지하차도,부산광역시,금정구,140,17,5
번영로지하차도(정보화),부산광역시,수영구,40,30,5
금호지하차도,부산광역시,강서구,120,27,7.4
대상지하차도,부산광역시,강서구,130,16,4.9
명지동진 지하차도,부산광역시,강서구,160,17,4.8
명지지하차도,부산광역시,강서구,380,15.5,4.5
봉림지하차도,부산광역시,강서구,470,25.5,7
한일시멘트,부산광역시,사상구,79,13.8,4.5
감현2교,부산광역시,사상구,17,4.4,2
괘법동,부산광역시,사상구,48,3.5,2
주례우체국 뒤,부산광역시,사상구,46,5.5,4.2
보훈병원1,부산광역시,사상구,30,16.5,5
보훈병원3,부산광역시,사상구,53,25,5
모라북구경계 지하차도,부산광역시,사상구,8.2,7.2,2.1
자유아파트,부산광역시,사상구,35,25,4.5
삼락생태공원(1),부산광역시,사상구,43,10,2.2
삼락생태공원(2),부산광역시,사상구,32,14,4.2
삼락생태공원(3),부산광역시,사상구,32,14,2.2
동부지하차도,부산광역시,기장군,40,15,4.8
무곡지하차도,부산광역시,기장군,17,11,4.38
삼성2지하차도,부산광역시,기장군,14,20,4.35
센텀시티지하차도,부산광역시,해운대구,1370,30,5
신선대지하차도,부산광역시,남구,1800,14,4.7
와석지하차도,부산광역시,북구,604,10,4.5
장전지하차도,부산광역시,금정구,1000,20.5,4.8
장전지하차도,부산광역시,금정구,220,9.3,4.8
장평지하차도,부산광역시,사하구,2000,21.7,4.5
감천지하차도,부산광역시,사하구,1134,10,4.7
덕천동폴리텍대학진입지하차도(덕천2육교),부산광역시,북구,20,10,4.1
만덕2터널밑지하보차도,부산광역시,북구,72,9.2,4.6
만덕고개생태통로,부산광역시,북구,25,8,8
화명2지하차도(화명대림쌍용아파트지하차도),부산광역시,북구,37,8.6,5
주례지하차도,부산광역시,사상구,183,6,5
영락공원지하차도,부산광역시,금정구,17,4.4,2
감현2교 지하보차도,부산광역시,사상구,40,4.5,3
