연번,지하차도,관할관리소,위치
1,가양지하차도,강남도로기전관리소,강서구 가양동
2,"경인1지하차도(주, 부)",강남도로기전관리소,양천구 목동
3,경인2지하차도,강남도로기전관리소,양천구 목동
4,수서지하차도,강남도로기전관리소,강남구 수서동
5,일원지하차도,강남도로기전관리소,강남구 개포동
6,개포지하차도,강남도로기전관리소,강남구 개포동
7,구룡지하차도,강남도로기전관리소,강남구 개포동
8,염곡동서지하차도,강남도로기전관리소,서초구 양재동
9,금하지하차도,강남도로기전관리소,금천구 독산동
10,구반포지하차도,강남도로기전관리소,서초구 반포동
11,반포지하차도,강남도로기전관리소,서초구 잠원동
12,염창지하차도,강남도로기전관리소,강서구 염창동
13,화곡지하차도,강남도로기전관리소,강서구 가양동
14,잠두봉지하차도,강북도로기전관리소,마포구 합정동
15,광나루지하차도,강북도로기전관리소,광진구 광장동
16,수락지하차도,강북도로기전관리소,노원구 상계동
17,상계지하차도,강북도로기전관리소,노원구 상계동
18,노원지하차도,강북도로기전관리소,노원구 상계동
19,마들지하차도,강북도로기전관리소,노원구 상계동
20,암사지하차도,강북도로기전관리소,강동구 암사동
21,한강대교동측지하차도,강북도로기전관리소,용산구 동부이촌동
22,성수대교북단지하차도,강북도로기전관리소,성동구 성수동
23,망원초록길지하차도,강북도로기전관리소,마포구 망원동
24,아천IC램프-H지하차도,강북도로기전관리소,경기 구리시 아천동
25,아천IC램프-I지하차도,강북도로기전관리소,경기 구리시 아천동
26,도봉지하차도,도봉지하차도관리소,노원구 월계4동~상계8동
27,상도지하차도,도봉지하차도관리소,노원구 상계1동
28,장암지하차도,도봉지하차도관리소,노원구 상계1동
29,초안산지하차도,도봉지하차도관리소,노원구 월계3동
