시설구분,확장구분,시설물명,도로구분,주소,총길이(미터),총폭(미터),유효폭(미터),높이(미터),준공년도,기관구분,관리구분
지하차도,기본,동암굴다리,구도,인천광역시 부평구 십정동 ,46.10,30.30,0,4.50,1979,부평구,직접관리
지하차도,기본,간석지하차도,일반국도,인천광역시 남동구 간석동 ,140.00,17.00,0,4.50,1981,남동구,이관
지하차도,기본,계양지하차도,구도,인천광역시 계양구 계산동 ,230.00,15.40,0,7.50,1998,계양구,직접관리
지하차도,기본,고잔지하차도,"특별,광역시도",인천광역시 남동구 고잔동 ,200.00,32.10,0,5.00,2010,종합건설본부,직접관리
지하차도,기본,동수지하차도,구도,인천광역시 부평구 부평동 ,60.00,19.60,0,5.00,2005,부평구,직접관리
지하차도,기본,동춘지하차도,"특별,광역시도",인천광역시 연수구 송도동 ,210.00,39.30,0,5.00,2010,종합건설본부,직접관리
지하차도,기본,루원지하차도,"특별,광역시도",인천광역시 서구 가정동 ,1280.00,28.50,0,5.60,2015,종합건설본부,직접관리
지하차도,기본,문학지하차도,구도,인천광역시 미추홀구 학익동 ,90.00,14.00,0,4.50,1997,미추홀구,직접관리
지하차도,기본,봉수지하차도,"특별,광역시도",인천광역시 서구 원창동 ,489.00,23.60,0,5.00,2015,종합건설본부,직접관리
지하차도,기본,석남지하차도,"특별,광역시도",인천광역시 서구 석남동 ,380.00,10.00,0,5.00,2004,서구,직접관리
지하차도,기본,석암지하차도,구도,인천광역시 미추홀구 주안동 ,208.00,15.00,0,4.90,1991,미추홀구,직접관리
지하차도,기본,선학지하차도,"특별,광역시도",인천광역시 연수구 선학동 ,240.00,24.00,0,9.00,1998,연수구,직접관리
지하차도,기본,송도지하차도,"특별,광역시도",인천광역시 연수구 동춘동 ,200.00,21.50,0,5.00,2010,종합건설본부,직접관리
지하차도,기본,옥련지하차도,"특별,광역시도",인천광역시 연수구 옥련동 ,248.00,16.00,0,6.00,2001,연수구,직접관리
지하차도,기본,옹암지하차도,일반국도,인천광역시 연수구 옥련동 ,250.00,10.00,0,7.20,2017,연수구,이관
지하차도,기본,왕길지하차도,"특별,광역시도",인천광역시 서구 왕길동 ,140.00,17.00,0,5.00,2001,서구,직접관리
지하차도,기본,용담지하차도,"특별,광역시도",인천광역시 연수구 연수동 ,118.00,8.60,0,4.70,1993,연수구,직접관리
지하차도,기본,용종지하차도,구도,인천광역시 계양구 용종동 ,75.00,16.00,0,0.00,2014,계양구,직접관리
지하차도,기본,임학지하차도,구도,인천광역시 계양구 용종동 ,320.00,16.00,0,7.50,1998,계양구,직접관리
지하차도,기본,장수지하차도,구도,인천광역시 남동구 장수동 ,53.00,21.30,0,4.50,1997,남동구,직접관리
지하차도,기본,중봉지하차도,"특별,광역시도",인천광역시 서구 청라동 ,1932.30,3.50,0,5.00,2011,인천경제자유구역청,직접관리
지하차도,기본,청라지하차도,"특별,광역시도",인천광역시 서구 청라동 ,120.00,27.00,0,7.40,2014,인천경제자유구역청,직접관리
지하차도,기본,청학지하차도,"특별,광역시도",인천광역시 연수구 청학동 ,473.20,17.00,0,7.20,1993,연수구,직접관리
지하차도,기본,해안지하차도,"특별,광역시도",인천광역시 남동구 고잔동 ,200.00,32.10,0,5.00,2010,종합건설본부,직접관리
지하차도,기본,북인천지하차도,"특별,광역시도",인천광역시 서구 청라동 ,140.00,17.00,0,0,2016,서구,직접관리
지하차도,기본,용현지하차도교,구도,인천광역시 미추홀구 용현동 ,77.00,22.00,0,0.00,1999,미추홀구,직접관리
지하차도,기본,고속종점지하차도,일반국도,인천광역시 미추홀구 용현동 ,190.00,16.50,0,6.70,1996,미추홀구,이관
지하차도,기본,굴포천역지하차도,구도,인천광역시 부평구 갈산동 ,180.00,16.50,0,5.00,2012,부평구,직접관리
지하차도,기본,그린나래지하차도,"특별,광역시도",인천광역시 중구 운남동 ,280.00,26.90,0,4.50,2013,인천경제자유구역청,직접관리
지하차도,기본,푸른나래지하차도,"특별,광역시도",인천광역시 중구 운남동 ,220.00,26.90,0,4.50,2013,인천경제자유구역청,직접관리
지하차도,기본,해찬나래지하차도,"특별,광역시도",인천광역시 중구 중산동 ,256.00,25.00,0,4.50,2013,인천경제자유구역청,직접관리
지하차도,기본,인천대공원앞 지하차도,구도,인천광역시 남동구 장수동 ,140.00,29.40,0,5.00,1995,남동구,직접관리
지하차도,기본,두빛나래 지하차도,"특별,광역시도",인천광역시 중구 운남동 ,740.00,33.40,0,4.50,2013,인천경제자유구역청,직접관리
지하차도,기본,삼목 지하차도,구도,인천광역시 중구 운서동 ,47.20,18.50,0,0.00,2000,중구,직접관리
지하차도,기본,호수공원 1 지하차도,구도,인천광역시 서구 청라동 ,485.00,19.50,0,4.50,2012,서구,직접관리
지하차도,기본,호수공원 2 지하차도,구도,인천광역시 서구 청라동 ,485.00,19.50,0,4.50,2012,서구,직접관리
지하차도,기본,용현지하차도교,인천광역시,미추홀구,용현동,77,22,22,0,1999,미추홀구
지하차도,기본,인천대공원앞 지하차도,인천광역시,남동구,장수동,140,29.4,29.4,5,1995,남동구
지하차도,기본,임학지하차도,인천광역시,계양구,용종동,320,16,16,7.5,1998,계양구
지하차도,기본,장수지하차도,인천광역시,남동구,장수동,53,21.3,21.3,4.5,1997,남동구
지하차도,기본,호수공원 1 지하차도,인천광역시,서구,청라동,485,19.5,19.5,4.5,2012,서구
지하차도,기본,호수공원 2 지하차도,인천광역시,서구,청라동,485,19.5,19.5,4.5,2012,서구
