연번,시설물명,주소,종별,시설물종류,준공연도,연장(미터),폭(미터),차선,높이(미터),비고(경과년수)
1,쌍용지하도,충청남도 천안시 서북구 쌍용동 1178번지 일원,3종,지하도,1990,219,18.1,4,4.7,34
2,성정지하차도,충청남도 천안시 서북구 성정동 609-199번지 일원,3종,지하도,1983,72.4,6.1,,2.5,41
3,구상골지하도,충청남도 천안시 서북구 성정동 795번지 일원,3종,지하도,1993,25,6,,3,31
4,미라골지하도,충청남도 천안시 서북구 쌍용동 998번지 일원,3종,지하도,1993,30,6,,3,31
5,백석지하도,충청남도 천안시 서북구 성정동 940번지 일원,3종,지하도,1996,21.4,6,,3,28
6,용암지하도,충청남도 천안시 서북구 쌍용동 2012번지 일원,3종,지하도,1997,43,6,,3,27
7,북부지하차도,충청남도 천안시 서북구 두정동 1078번지 일원,3종,지하차도,2007,75,23,6,4.5,17
8,영성지하도,충청남도 천안시 서북구 두정동 1843번지 일원,3종,지하도,2007,54.5,6,,3,17
9,성환둔포지하도,충청남도 천안시 서북구 성환읍 성환리 449-729번지 일원,3종,지하도,2007,52,4,,2.3,17
10,모시리지하차도,충청남도 천안시 서북구 직산읍 모시리 2-2번지 일원,3종,지하차도,2007,45,45,2,4.5,17
11,두정지하차도,충청남도 천안시 서북구 두정동 1689번지 일원,2종,지하차도,2010,170,17.1,4,7.4,14
12,번영로지하차도,충청남도 천안시 서북구 불당동 1309번지 일원,2종,지하차도,2011,140,18,4,5.1,13
13,성성지하차도,충청남도 천안시 서북구 성성동 525-1번지 일원,2종,지하차도,2011,300,12.8,3,5.1,13
14,판정지하차도,충청남도 천안시 서북구 입장면 용정리 80-5번지 일원,3종,지하차도,1968,61,15,2,4.5,56
15,천안로 지하차도,충청남도 천안시 동남구 신부동 115-73번지,1종,지하도,2010,700,16.5,4,7.3,14
16,나들목 지하차도,충청남도 천안시 동남구 신부동 157번지,2종,지하도,2010,355,18,4,7.1,14
17,일봉지하도,충청남도 천안시 동남구 다가8길  26   (다가동),3종,지하도,2009,880,3,8,2.5,15
18,봉서지하도,충청남도 천안시 동남구 봉명동 500번지,3종,지하도,1993,33,6,6,3,31
19,천안지하도,충청남도 천안시 동남구 다가동 565번지,3종,지하도,1977,87,8,2,2.7,47
20,신방지하차도,충청남도 천안시 동남구 신방동 778-1,3종,지하차도,2013,480,19.8,4,4.7,11
21,청수지하차도,충청남도 천안시 동남구 청수동 254,2종,지하차도,2010,430,8.5,2,5,14
22,청당지하차도,충청남도 천안시 동남구 구룡동 564-4,3종,지하차도,2010,150,23,4,5.3,14
23,오룡지하차도,충청남도 천안시 동남구 오룡동 43-14,3종,지하차도,2010,880,19,4,7.3,14
24,청룡지하차도,충청남도 천안시 동남구 청당동 156-2,3종,지하차도,2017,80,18.2,4,5.2,7
