"DST_YR","DST_TYPE_CD","DST_SN","RGN_CD","FLDN_SITU_SN","FLDN_BGNG_DT","FLSU_EXPC_DT","FLDN_HR_HR","FLDN_HR_MIN","FLDN_BFR_AREA","FLDN_RCFILD_AREA","FLDN_CTY_AREA","FLDN_BLDG_VILAGE_CNT","FLSU_BFR_AREA","FLSU_RCFILD_AREA","FLSU_CTY_AREA","FLSU_BLDG_VILAGE_CNT","DAM_DT","DAM_RGN_DONG_CD","DAM_RGN_DADDR","DAM_FACTR_CD","VLD_DTIN_SE","WRTR_ID","WRT_DT","MDFR_ID","MDFCN_DT","MAAS_OBNT_DT"
"재해연도","재해유형코드","재해일련번호","지역코드","침수상황일련번호","침수시작일시","퇴수예상일시","침수시간시간","침수시간분","침수전면적","침수답면적","침수도시면적","침수건물동수","퇴수전면적","퇴수답면적","퇴수도시면적","퇴수건물동수","피해일시","피해지역행정동코드","피해지역상세주소","피해요인코드","유효데이터구분","작성자아이디","작성일시","수정자아이디","수정일시","행정안전부입수일시"
"2012","001001","1","4690000000","1","2012/07/18 23:00:00","2012/07/19 08:30:00","9","30","0","0.2","0","0","0","0.2","0","0","2012/07/18 23:00:00","4690031000","599-4","018001","V","hanpan7235","2012/07/19 09:14:00","hanpan7235","2012/07/19 09:14:00","2012/07/19 23:43:00"
"2012","001001","1","4690000000","2","2012/07/18 23:00:00","2012/07/19 09:30:00","10","30","0","0.2","0","0","0","0.2","0","0","2012/07/19 23:00:00","4690031000","599-5","018001","U","hanpan7235","2012/07/19 09:15:00","hanpan7235","2012/07/19 09:19:00","2012/07/19 23:43:00"
"2012","001001","1","4690000000","3","2012/07/18 23:00:00","2012/07/19 09:30:00","10","30","0","0.2","0","0","0","0.2","0","0","2012/07/18 23:00:00","4690031000","599-5","018001","V","hanpan7235","2012/07/19 09:19:00","hanpan7235","2012/07/19 09:19:00","2012/07/19 23:43:00"
"2012","001010","13","2647000000","1","2012/07/15 12:30:00","2012/07/15 13:30:00","1","0","0","0","4","0","0","0","4","0","2012/07/15 12:30:00","2647065000","399-5","018001","U","2647009001","2012/07/20 21:10:00","2647003001","2013/08/27 14:34:00","2013/08/28 00:12:52"
"2012","001010","18","4571000000","1","2012/07/30 14:15:00","2012/07/30 14:36:00","0","21","0","0","0.5","0","0","0","0","0","2012/07/30 14:20:00","4571036000","","018001","V","4571009001","2012/07/30 14:36:00","4571009001","2012/07/30 14:36:00","2012/07/31 00:13:01"
"2012","001010","18","4279000000","1","2012/07/30 14:37:00","2012/07/30 14:37:00","0","0","0","0","0.5","0","0","0","0","0","2012/07/30 14:37:00","4279025000","","018001","V","4279002001","2012/07/30 14:38:00","4279002001","2012/07/30 14:38:00","2012/07/31 00:13:01"
"2012","001010","18","4571000000","2","2012/07/30 14:47:00","2012/07/30 14:47:00","0","0","0","0","0","0","0","0","0","0","2012/07/30 14:47:00","4571034000","","018001","V","4571002001","2012/07/30 14:47:00","4571002001","2012/07/30 14:47:00","2012/07/31 00:13:01"
"2012","001010","18","4571000000","3","2012/07/30 14:47:00","2012/07/30 14:47:00","0","0","0","0","0","0","0","0","0","0","2012/07/30 14:47:00","4571032000","","018001","V","4571002001","2012/07/30 14:47:00","4571002001","2012/07/30 14:47:00","2012/07/31 00:13:01"
"2012","001010","18","4571000000","4","2012/07/30 14:47:00","2012/07/30 14:47:00","0","0","0","0","0","0","0","0","0","0","2012/07/30 14:47:00","4571025300","","018001","V","4571002001","2012/07/30 14:47:00","4571002001","2012/07/30 14:47:00","2012/07/31 00:13:01"
