"DONG_CD","STATS_VL","DTA_UNIT_NM","ORGNL_PATH_CN","REG_DT","MDFCN_DT","YR"
"행정동코드","통계값","데이터단위명","원본경로내용","등록일시","수정일시","연도"
"1100000000","260330","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:48","2024/02/19 09:59:31","2020"
"1111000000","4303","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:49","2024/02/19 09:59:31","2020"
"1114000000","3850","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:49","2024/02/19 09:59:31","2020"
"1117000000","6212","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:50","2024/02/19 09:59:31","2020"
"1120000000","6772","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:51","2024/02/19 09:59:31","2020"
"1121500000","6986","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:51","2024/02/19 09:59:31","2020"
"1123000000","10994","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:52","2024/02/19 09:59:31","2020"
"1126000000","15124","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:52","2024/02/19 09:59:31","2020"
"1129000000","11329","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:53","2024/02/19 09:59:31","2020"
"1130500000","14543","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:53","2024/02/19 09:59:31","2020"
"1132000000","9772","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:54","2024/02/19 09:59:31","2020"
"1135000000","23608","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:54","2024/02/19 09:59:31","2020"
"1138000000","16090","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:55","2024/02/19 09:59:31","2020"
"1141000000","7131","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:55","2024/02/19 09:59:31","2020"
"1144000000","7511","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:56","2024/02/19 09:59:31","2020"
"1147000000","10783","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:57","2024/02/19 09:59:31","2020"
"1150000000","20927","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:57","2024/02/19 09:59:31","2020"
"1153000000","8781","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:57","2024/02/19 09:59:31","2020"
"1154500000","8758","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:58","2024/02/19 09:59:31","2020"
"1156000000","8525","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:58","2024/02/19 09:59:31","2020"
"1159000000","8444","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:56:59","2024/02/19 09:59:31","2020"
"1162000000","14452","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:00","2024/02/19 09:59:31","2020"
"1165000000","4657","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:00","2024/02/19 09:59:31","2020"
"1168000000","10993","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:01","2024/02/19 09:59:31","2020"
"1171000000","9540","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:01","2024/02/19 09:59:31","2020"
"1174000000","10245","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:02","2024/02/19 09:59:31","2020"
"2600000000","144283","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:03","2024/02/19 09:59:31","2020"
"2611000000","2904","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:03","2024/02/19 09:59:31","2020"
"2614000000","6865","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:04","2024/02/19 09:59:31","2020"
"2617000000","7087","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:05","2024/02/19 09:59:31","2020"
"2620000000","9132","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:05","2024/02/19 09:59:31","2020"
"2623000000","14457","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:06","2024/02/19 09:59:31","2020"
"2626000000","7232","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:06","2024/02/19 09:59:31","2020"
"2629000000","7853","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:07","2024/02/19 09:59:31","2020"
"2632000000","15676","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:07","2024/02/19 09:59:31","2020"
"2635000000","14572","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:08","2024/02/19 09:59:31","2020"
"2638000000","15926","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:08","2024/02/19 09:59:31","2020"
"2641000000","9112","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:09","2024/02/19 09:59:31","2020"
"2644000000","2743","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:10","2024/02/19 09:59:31","2020"
"2647000000","7213","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:10","2024/02/19 09:59:31","2020"
"2650000000","5763","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:11","2024/02/19 09:59:31","2020"
"2653000000","11548","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:11","2024/02/19 09:59:31","2020"
"2671000000","6200","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:12","2024/02/19 09:59:31","2020"
"2700000000","98350","명","<국민건강보험공단 지역별 의료이용통계> 국민건강보험공단→ 국민과함께 → 정보공개 → 사전정보공개 → 통계 정보 → 의료급여 통계연보→ 의료급여 통계연보(2019)","2024/02/19 09:57:12","2024/02/19 09:59:31","2020"
